장소,별점,리뷰
,4,새우탕면이랑 갈비차오판을 시켰어요 갈비 차오판은 흔한 볶음밥 맛이었고 그렇게 맛이 있는지 모르겠어요 ㅠㅠ 양이 진짜 많았어요 새우탕면이 국물이 진하고 앙도 많았어요 국물이 너무 시원하고 진해서 맥주를 부르는 맛이어서 만족했습니다 다만 위생이 조금 안좋아서 ㅠㅠ 그 부분이 부족하다 느껴서 별을 하나 빼요 평상시에 웨이팅이 있기도 하다는데 웨이팅까지 할 정도는 아닌거 같아요.
,4,그래도 대학로에서 한번쯤 갈만한 만족할만한 밥집이었어요!
,1,최악의 꿔바로우와 소태차오판 그리고 조화롭지못한 챠오미엔 어지간해선 이런 평가 안내리는데 친구 데리고 갔다가 절교당할뻔했습니다 세상에 딱딱한 튀김이라뇨 중식집에서 튀김을 잘못튀겨서 딱딱하다는게 말이 되나요
,1,맛이 점점 변해간다는 리뷰를 웃어넘기지 말았어야했는데....
,1,특제차오판은 심각할정도로 짜더군요 집가는길에 2L 물 6개 한묶음 뚝딱할뻔했습니다 차오판덕분에 맛도 안느껴지는 해선챠오미엔은 야채랑 면이 따로 놀더군요 어지간해선 놀러가서 먹는 음식은 맛있게 먹고 즐거운 경험으로 남기는데 와....친구한테 얼굴을 못들만큼 미안함 느끼고 싶으시면 꼭 소친친 가세요
,4,맛있네요 중국보단 대만에서 먹었던 대만풍에 가까운듯~ 친절하셔서 좋았고 오늘 콜라가 다 떨어져서 아쉬워서 별한개는 빼고 ㅎㅎ 사이다로 바꿨는데 음료수양은 넉넉해서 좋았어요:)
,3,음식이 맛집...?이라고 하기엔 조금 모자란다...
,3,다소 무난하고 강렬하지 않은 맛이다
,5,"이 메뉴 저 메뉴 시켰는데 양도 많고, 맛도 좋았음"
,5,홍콩식 중화요리
,5,"깐풍기와 새우탕면 맛있구요, 점심땐 대기 있어요"
,5,양 많습니다
,4,맛집이라기 보다 조금 맛있는 집
,4,볶음밥과 탕수육은 준수하나 보노보노(뷔페식당) 정도 수준임
,4,꿔바로우는 다른 분 말씀대로 좀 딱딱한 고기가 섞여있어요
,4,먹으면서 딱딱해지는 거 같지는 않고 브레이크타임에 좀 튀겨놓은 느낌
,4,"분위기 좋아여, 맨날 똑같은 것만 먹읍니다"
,4,꿔바로우+치킨차오미엔
,4,저녁엔 5시45 정도에 가면 한 자리 정도 있습니다.
,5,휴 넘 맛이쯤
,5,좀 기름지긴 하지만 계속 가고싶은곳
,5,특제 차오판 강추입니다
,4,첫입은 정말 맛있는데 먹다 보면 짭잘해서 많이 먹기 힘들었다 ㅠㅠ 중식의 특징이지만 조금 먹었는데도 배가 많이 불렀다
,4,식사와 술먹기 좋은 장소 분위기도좋고 음식맛도 좋아요
,5,여러번 방문해도 질리지 않는다
,5,탄탄면 향라새우 추천 ㅎㅎ
,5,새우탕 존맛 꿔바로우 고기 완전 도톰해서 존맛 볶음밥 종류도 존맛 여럿이 와서 다양하게 시켜먹으니까 완전 굿굿
,4,"맛은 그럭저럭, 인테리어가 꽤 재밌어요."
,5,모든 요리가 다 맛있을수 있나~싶을정도로 맛있습니다~
,5,이제는 소문나버린 나만의 맛집 대기가 있다 슬프다ㅠ
,3,기다려서 들어갔는데 생각보다 너무 평타였어요 고민끝에 유린기시켰는데 새콤한맛이 없었습니다...나중에 레몬달라해서 찍어먹었네요...슬라이스라...재방문의사는 없습니다
,4,개성있는 중국풍 요리를 저렴한 가격에 먹을 수 있어 좋습니다.
,3,그저그런 중국집...왜 여길 맛집이라며 사람들이 찾는지 알 수 없음...단지 흔히 먹는 중식과는 다른걸 파니 색다른 맛에 한번쯤은 가 볼만하다.
뎁짜이,5,대학로에서 먹어본 쌀국수 중 가장 맛있었어요
뎁짜이,5,"면도 야들야들 입에서 녹는 듯하고, 국물도 짜지않게 맛있어요"
뎁짜이,5,"분보남보는 처음 먹어보는데 야채 고기 엄청 많이 들어있어서 좋았고, 사이드 다 먹어보고 싶었는데 샘플러가 있으니 더없이 좋았어요."
,4,TV에서 보고 맛있어보여서 일부러 찾아갔는데 쌀국수랑 짜조 둘다 맛있었습니다👍🏻 쌀국수면은 직접 뽑은 느낌에 담백한 국물과 잘 어울렸습니다
,4,짜조도 바삭하고 내용물이 실해서 좋았습니다
,4,또 갈 의향있습니다💯
,3,접근성: 대학로 큰길에서 먹자골목 안쪽으로 200미터쯤 들어와야하지만 찾기 어렵지는 않음
,3,휠체어 접근도 가능하나 매장이 워낙 좁아 식사가능할지는 모르겠음
,3,화장실 바로 앞에 음식물(식음료통
,3,물통)있다는 점이 청결에대한 식당주인의 생각이 아닌가 싶음
,3,직원들은 친절한 편
,3,주방은 베트남 사람들이 음식을하니까 좀더 음식이 베트남 현지 맛이 나는듯
,3,국수 국물은 뜨겁지 않은데 아마도 점심을 빨리 먹고 빨리가는 사람들이 주 고객이라 그런것 아닐까
,3,추측해봄...하지만 뜨거운 국물 요청하면 별도로 주니 필요한분들은 별도로 요청하거나 주문시 미리 말하면됨
,3,평범함 친절하고 고기의 누린내가 없었고 깔끔했으나 간이 센 편 볶음밥의 식감이 좋았고 갓 튀긴 넴도 맛있었음
,4,쌀국수 엄청 맛있다
,4,고추랑 고수 추가해서 칼칼하게 먹으니까 더 맛있다
,4,곁들여져 있는 고기도 연하고 부드러워 좋았다
,4,나는 분짜늘 즐기지 않지만 봄봄이는 여기 분짜가 엄청 맛있다고 한다
,4,새우 볶음밥도 괜찮았다
,4,아쉬운게 있다면 나한테는 공심채가 쫌 심심해서 간이 좀더 강했으면 했다
,4,그래도 쌀국수는 다시 가 먹고 싶을만큼 맛좋았으니 가보시길 추천한다
,4,2인이 가면 2인 테이블을 주지만 엄청 많이 시키면 다인 테이블을 이용할 수 있다ㅋㅋㅋ
,5,엄청 만족 합니다
,5,생면이라 면이 다른 쌀국수집과 다르고 너무 만족하고 나옵니다
,5,쌀국수가 맛있어서 반미랑 짜조도 포장해갔어요.
,3,쌀국수는 내입맛에 너무 별로였음 원래그런건진 모르겠는데 면도 퉁퉁하고 뚝뚝 끊김 그리고 국물이 진하다거나 고소하거나 하는 맛이 없음 걍 그냥 맛 자체가 없음 무맛임; 근데 볶음밥이 도랏음 존맛탱임 리뷰보고 볶음밥도 주문했는데 볶음밥먹으라고 리뷰남겨쥬신분들 복받으세유
,4,직원분들과 인테리어 덕분에 진짜 베트남 온듯 기분 낼 수 있었어요~~ 음식도 넘 맛잇네요!
,4,쌀국수는 국물이 진짜 진해서 면추가해서 드시는것두 추천~
,4,사이드도 기대이상으로 잘 나오더라구요
,4,반미도 꼭 드셔보세용 속도 꽉차있고 바게뜨빵두 바삭하니 맛잇어요~~
,5,대학로 갈 때면 들리는 곳 중 하나 초창기부터 갔었는데 맛집이 되어버렸네요 너무 맛있어요 면이 진짜 맛있고 분짜 최고 반미도 쌀국수도 비빔국수도 맛있어요
,5,대학로 연극보고 우연히 들른곳인데..
,5,분짜는 최강입니다
,5,쌀국수 안드셔도 분짜는 무조건 드세요...
,5,혜화 찐 맛집
,5,일단 생면이라 면이 엄청 쫄깃하구요 먹고나면 엄청 배부른데 신기하게 속이 편해요
,5,벌써 두번째 방문이고 또 갈 것 같아요
,5,"새우볶음밥, 분짜, 분보남보, 쌀국수 다 맛있었어요"
,5,제 개인적인 추천메뉴 구성은 2명이가면 분짜랑 새우볶음밥시키고 쌀국수 국물 달라고 부탁드리면 분짜에 면이 따로 나오니까 미니 쌀국수처럼 먹을 수 있고 분짜소스에 면 찍어먹으면 분보남보랑 비슷해서 엄청 여러메뉴 먹는 느낌 나요
,5,배는 한정적인데 여러 메뉴 먹고싶은 분들은 추천합니다~
,4,공심채도 볶음밥도 넘 맛있어요
,4,금요일 저녁은 사람이 많고 분주하네요
,4,그래도 음식은 빨리빨리 나오는 편이에요
,5,청결하고 웨이팅이 길지 않은데도 엄청 맛있는 집
,5,고급 쌀국수와 반미를 추천합니다
,5,느억맘 볶음밥도 맛있어요
,5,프랜차이즈 쌀국수집보다 나은 베트남 쌀국수집
,5,이곳의 큰 장점은 쌀국수 면을 리필해준다는 점에 있다
,5,쌀국수 외에도 느억맘 볶음밥도 별미
,5,피쉬소스를 넣어 볶은 볶음밥이지만 비린느낌 없이 맛있다
,5,게다가 양도 많이 준다
,5,넴이 들어있는 분짜도 새콤달콤한게 맛이 있다.
,3,와
,3,맛있다!는 절대 아니고 그럭저럭 갈 만한 음식점
,3,생면 쌀국수라는데 면 끄트머리가 뭉친 채 풀리지 않은 상태로 서빙된 점은 미스테리
,3,"볶음밥도 그냥 잘 볶은 볶음밥에 느억맘 곁들여 나오는 수준이고, 공심채도 그냥 잘 볶아서 나온다"
,3,전체적으로 잘 현지화된 베트남음식
,3,주말 저녁은 너무 붐비고 시끄러워서 호치민 시 시장을 간접체험할 수 있다.
,4,쌀국수는 그냥 평범함 분짜가 진짜 베트남에서 먹는것같은 맛이였음
,3,전체적으로 그냥 저냥
,3,"유일한 좋은점은 라임,고추,마늘을 따로 담아 주는것"
,3,국수 국물에 라임 짜먹으니 괜찮음
,3,약간 덜 풀린 국수 면도 그렇지만 반미 빵에 수분이라곤 안느껴지는 파삭거림땜에 먹기 힘들어서 별3
,3,계란 부침도 생각보다 너무 얄상한게 들어가있어서 배가 덜찬다
,3,맛은 괜찮은데 나머지 디테일이 떨어져 다시 갈진 모르겠다.
,4,기대안하고 갔는데 맛좋고 양도 푸짐해요
,4,특히 쌀국수의 국물맛이 진해서 추천하고 싶네요
,4,반미랑 볶음밥도 맛있구요~
,5,"분짜와 쌀국수를 주문하였는데 쌀국수는 무겁지 않은 육수가 개운한 맛이어서 좋았고, 분짜는 완자와 고기가 냄새가 나지 않아 좋았고, 넴이 근래 먹어본 베트남 음식점 중 최고여서 오랜만에 맛있는 분짜를 먹을 수 있었습니다"
,5,기본 메뉴가 충실한 베트남 음식점으로 이전에 분짜OO 첫 방문때와 같은 즐거운 기분을 느끼게 해 준 곳입니다.
,3,국물이 짜지않고 동남아 음식 특유의 향이 나지 않아 좋았지만 블로그 후기에서처럼 면이 쫄깃하지 않았다
,3,불은 느낌이다
,5,존맛탱
,5,버릴 메뉴가 없음
,5,1인1메뉴하면 생면 리필까지 해줌
,5,특히 쌀국수가 정말 맛있고 면발도 탱글한게 미침
,5,"새우볶음밥 진짜 맛있는데 새우가 거의 없음, 그래도 맛있다,,,,분짜는 모두가 아는 그맛임"
,5,또가고 싶다...
,5,깔끔한 국물에 촉촉한 생면이 촥촥 감긴다
,5,쌀국수&짜조 맛있고
,5,볶음밥도 괜츈
,5,분짜는...그닦
,5,담에 반미 먹고픈 곳.
칸다소바 혜화점,5,마제소바는 경복궁점에서 먹어보기도했고 처음 먹어본 돼지껍데기 아부라소바가 너무 맛있었음
칸다소바 혜화점,5,회전율이 좋아서 그런가 돼지껍데기 전문점보다도 껍데기가 신선하고 쫄깃한 느낌이고 아부라소바라고는 하지만 느끼하지않아 물리지않아 맛있게 먹을 수 있음
칸다소바 혜화점,5,다음에는 다른 메뉴로 맥주랑 같이 먹으러 갈 예정🙏👍👍👍👍
,5,마제소바 자체를 처음 먹어봤는데 너무 맛있었어요~ 일본에서 먹던 츠케멘 같아요 :) 츠케멘 부먹느낌이랄까
,5,"중간부터는 식초랑 시치미 뿌려서 먹었는데 헐베 더 맛있어졌어요ㅎㅎ 수비드 고기는 전 불호고 함께간 남친은 호였어요 생고기 느낌, 중간중간 심줄같은게 질긴느낌이 전 싫었고 남친은 고기라 좋다네요ㅋㅋㅋ 마지막에 밥 비벼서 먹는데 샤브샤브 다먹고 죽인가 볶음밥일까 모르겠지만 맛있던 그 느낌이에요ㅋㅋ 맛있고 든든했어요~"
,5,밥은 꽁짜고 고기추가는 2000원이였어요 직원들은 친절하고 저는 평일 저녁 8시쯤 방문했는데 웨이팅없이 들어갔어요 :) 재방문 의사 있습니다!
,4,"오랜만에 혜화역에 방문해서 쌀국수 맛집이라는 화화담을 가려다 리뷰평가가 대부분 광고성이 짙어서 급하게 변경하게 되서 광화문에서 근처에서 일할때, 주자 방문한 칸다소바를 가게 되었다"
,4,토요일 오후 13:30에 방문했는데 앞에 5팀 정도 웨이팅이 있었다
,4,방문시 주의할 점은 식당앞에 줄을 서는 것 보다 빠르게 들어가서 키오스크를 이용해 메뉴 주문을 해야한다
,4,메뉴를 주문하고 주문서를 직원에게 전달하고 나가서 웨이팅을 하면되고 괜히 앞에서 기달리기만 하면 안된다
,4,이런 문제점이 있기 때문에 직원이 주기적으로 나와서 주문 먼저 하라고 안내해준다
,4,"예전에는 마제소바 단일 메뉴였는데, 몇가지 메뉴가 추가된 것을 알 수 있었다"
,4,"메뉴는 마제소바, 돼지껍데기 아부리소바와 토핑으로 계란과 고기를 추가하였다"
,4,"20분 정도 웨이팅 후 들어가서 안내해준 자리에 앉았는데, 가게의 분의기는 전반적으로 주방을 바라볼수 있는 바 형태의 테이블과 기본적인 4인 테이블로 구성되어 있다"
,4,"3명 이상이면 4인 테이블로 안내해주고, 2명일 경우 바 자리에 자리가 없으면 4인테이블에 나란히 앉히고 맞은편에 칸막이를 설채해준다"
,4,마제소바의 맛은 경복궁에서 먹은 맛과 차이가 없어서 만족스러웠다
,4,"최근들어 마제소바 식당이 생겨나고 있는데, 개인적으로 몇곳 방문해 봤는데 칸다소바가 만족도가 더 좋았다"
,4,"토핑으로 나온 돼지껍데기는 겉바속촉이었고, 고기나 계란도 맛이 나쁘지 않아서 추가할 만한 가치가 있었다"
,4,마제소바는 처음에 비벼서 먹다가 다시마 식초를 적당량 추가해서 먹으면 식초의 산미가 느끼한 맛을 잡아주고 면을 다 먹으면 밥을 추가해서 남은 양념에 비벼먹는 방식으로 먹는다
,4,아부라소바도 먹는 방법은 빗슷한데 매콤한 맛을 좋아한다면 아부라소바도 좋은 선택일 꺼 같다.
,5,혜화역 4번 출구 근처에 있는 일식당입니다
,5,칸다소바는 도쿄의 각종 라멘 대회에서 수차례 입상한 동경 라멘 전문점 '와이즈'의 비법을 고스란히 한국에 옮겨운 식당입니다
,5,들어가자마자 키오스크에서 주문하고 번호표를 직원에게 주면 자리를 안내해 줍니다
,5,마제소바와 아부라소바 2가지 메뉴를 판매중입니다
,5,메뉴에 반숙계란과 수비드차슈를 추가할 수 있습니다
,5,소스에 밥을 추가하여 함께 먹을 수 있는데 반숙계란과 수비드차슈까지 추가하니 배가 불러서 밥은 먹지 못했습니다.
,4,"두번째 방문이구요,두번다 마제소바 주문했어요"
,4,40대후반인 저에겐 조금 기름지게 느껴지지만 묘한 중독성이 있습니다.면을 다 먹은후 밥도 무료로 주는데 저는 면만으로도 충분했습니다.
,5,마제소바 보다 제입맛엔 아부라소바가 더 맛있었어요
,5,그냥 맛본 후 다대기랑 고추기름 다시마식초를 넣어보세요 감칠맛이 확올라옵니다
,5,매운거 잘못드시는분들은 다대기는 안넣으시는거 추천드립니다
,5,마제소바는 특유의 가쓰오부시 향이 강합니다
,5,돈코츠라멘도 좋아하는데 메뉴 리뉴얼중이라 판매하지않고 있었습니다.
,5,아무도 아부라 소바의 속을 보여주지 않아서 찍어보았습니다
,5,"마제소바, 아부라소바 모두 맛있지만 아부라소바가 조금 더 일반적인 맛입니다"
,5,마제소바는 독특해요
,5,밥비벼먹기는 마제소바가 양념이 넉넉해 더 좋습니다
,5,밥까지 먹으면 느끼하니 콜라 꼭 시키세요.
,5,너무 맛있어요!
,5,오픈시간전부터 대기줄이있어요~ 그래도 안에 좌석이 많아서 금방빠져요~ 음식맛도 맛있습니다!
,5,저는 갈때마다 돼지껍데기아부라소바먹는데 좀매콤합니다!
,5,상받은 라멘도 있으니 맛보세요~ 마제소바도 맛있어요
,5,가쓰오부시맛 마니납니다!
,4,줄서서 먹는 맛집이라길래 평일 늦은 점심에 가니 줄은 서지 않았어요
,4,돼지껍데기 아부라소바 먹었는데 맛은 괜찮은편이었으나 사실 줄서서 먹을 정도는 아닌것 같아요
,4,굳이 재방문 하지는 않을듯 합니다
,4,그래도 한 번쯤 방문해보는건 나쁘지 않아요.
,5,줄서는 식당에 나왔다고 해서 비오는 평일을 노려 아내와 방문
,5,역시 웨이팅 없이 한방에 자리를 잡음
,5,가장 잘 나간다는 메뉴 하나씩 주문
,5,선택은 탁월했음
,5,나중에 밥까지 비벼먹음.
,4,웨이팅 기본 입니다
,4,먼저 주문시켜서 번호표 뽑고 줄서있으면 됩니다
,4,개인적으로 마제소바보다 이에케 라멘이 더 맛있었습니다
,4,이에케 소바는 생각보다 고기가 별로 안들어가 있습니다
,4,마제소바는 걸죽한 파스타 같은 느낌 입니다.
,4,오픈전부터 줄을 서 있었는데 갑자기 30분 되자마자 어떤 여자분이 당당하게 입구로 새치기 하시기에 직원인줄 알았는데 번호표를 먼저 뽑아야되는줄 알았다면서 결제를 하시고나서 뒤로가서 줄을 서시겠다고 했는데 이미 들어간 주문이 취소가 안되서 그냥 앉아서 드시고 가셨어요
,4,황당했습니다.
,4,젤 뒷쪽에 번호표를 먼저 뽑으셔야 된다는 안내 때문에 혼선이 있는것 같은데 그 부분 개선하셔야 할 것 같아요 맛은 평이 했어요
,5,마제소바에 토핑 두가지다 추가해서 먹었습니다
,5,마제소바 답게 찐득하면서도 진한 맛이 좋았고 먹는법 적혀있는것처럼 중간에 식초를 넣거나 다 먹고 밥을 비벼먹는방법 모두 맛있었습니다.
,5,정말 제발 이거 보시는 모든 분들이 제발 껍데기아부라소바 제발먹어주세요
,5,힘들어요 제발 알려주세요
,5,6:40 쯤 갔는데 줄 많았어요~ 사실 항상 줄은 많아요~^^ + 주문먼저 넣으시고 줄을 서주세요!!
,5,+ 여기에 식초 대빵 추가해주세요
,5,아니면 살짝 느글거려요… + 초절임이랑 같이먹으면 뻥아니고 2그릇 가능해요.
,4,칸다소바 대학로점 처음 와봤어요 역시 마제소바 맛집이 맞습니다
,4,오랜만에 마제소바 먹었는데 만족하는 맛입니다.
,5,아부리소바 약간 매콤하면서 맛있어요 ㅋㅋ 배불러서 밥은 못비벼먹었음.
,5,마제소바나 아부라소바나 다 느끼한 맛이 있긴 해서 나중에 맥주랑 먹으면 좋을듯 ㅎ 매콤한거 좋아해서 항상 아부리소바만 먹습니다
,5,첫 입은 느끼 매콤 하면서 묵직한 맛이지만 식초랑 고추기름 넣어서 다시 먹어보면 고소 짭잘 매콤에다 감칠맛 까지 너무 좋았습니다 돼지 껍데기는 면이랑 같이 먹어도 좋지만 따로 빼서 시치미 뿌려서 먹으면 또 색다른 맛 또 먹으러 가야징
,5,혜화에 딱히 맛있다하는 집들이 많지 않은데 그나마 여기 소바는 맛있어요 면도 그렇고 짭쪼름한 맛도 그렇고
,5,마제소바는 늘 먹어도 변치않는 맛입니다
,5,후루룩너무급하게 먹으면 체합니다
,5,천천히 꼭꼭 씹어서 맛을 즐기며 먹는게 좋아요 식성에 맞게 먹으면서 식초두 넣고 하면 계속 다른맛을 느낄수가있구요 밥은 무료로 공기밥 제공해줍니다
,5,공기밥 양이 적어보이지만 막상 먹어보면 그렇지 않아요 생맥주 하나 시켜서 마시면서 먹으면 왠지 일본에 와 있는 기분입니다
,5,줄 그냥 서있지 말고 가게안에 자판기에서 미리 주문하면 번호가 나옵니다
,5,밖에 줄길다고 마냥 기다리면 뒷사람이 먼저들어갈수있으니 가자마자 자판기로 주문하세요
,5,회전율이 빨라서 그렇게 오래기다리지않습니다
,5,시간에 따라서요 ^^
,4,마제소바 맛있게 먹었습니다
,4,"1인 11,000원이고, 차슈도 추가 할 수 있습니다."
,5,맛있습니다
,5,일본말고 한국에서 먹은 소바 중에는 가장 제 취향이었어요 간이 센 편이에요 가격은 마제소바 기본11000원 차슈추가2000원!
,4,돈코츠라멘이 조금 느끼해서 다먹기는 힘든데 자주 생각나는 맛이에요 마제소바 꼭 드세요 안먹어봤으면 한번은 꼭 드셔보세요 맛있어요
,4,유명하길래 처음 먹어봤어요
,4,"오늘은 비교적 한산해서 줄 서지않고 바로 먹었지만, 저희 뒤로 금방 자리가 다 차더라구요 마제소바+차슈추가+계란추가, 아부라소바, 맥주한잔 총 26,500원 나왔어요 마제소바는 면, 소스, 다진파, 김가루를 비벼먹는 따뜻한 비빔면인데, 샤브샤브 다 먹고 마지막에 만들어 먹는 죽 그맛 비슷합니다"
,4,근데 다시마식초라는 걸 뿌려 먹으면 풍미가 훨씬 좋네요
,4,다 먹고 밥 달라고 하면 밥은 공짜인데 이 양념에 비벼 먹어도 맛있네요
,4,차슈 부드럽고 불맛나서 좋고 계란도 부드러워요
,4,"아부라소바는 파가 덮혀있고 날계란이 하나 올려있는데, 그 아래에는 비빔면에 고기, 죽순이 들어있어요"
,4,"안내서대로 고추기름, 식초, 다대기를 순서대로 넣을때마다 맛이 재밌게 변합니다"
,4,역시 다시마식초는 아낌없이 넣으세요 훨씬 맛있어요 엄청 맛있다 정도는 아니지만 맛있고 재밌게 잘 먹었어요 근데 매장이 너무 더워요 ㅠㅜ 물도 찬물이 아니라서 다들 땀 뻘뻘 흘리며 먹더라구요
,4,그래서 4점이에요
,5,솔직히 무슨 맛인지 잘 모르겠는데 맛있게 먹었어요
,5,그냥 흡입했어요
,5,한번쯤 먹어봐도 좋을 것 같아요.
,5,마제소바만 먹다가 한정 판매되는 이에케 돈코츠 라멘이 소진이 안되서 먹어 봤는데 맛있었어요
,5,대학로 근처에서 파는 돈코츠 라멘들 보다 훨씬 좋았습니다
,5,또 먹고 싶네요.
,5,점심 시간을 피해갔음에도 줄이 길어 당황스러웠다
,5,"입장 후에 주문이 아닌, 키오스크로 먼저 주문을 완료하고 줄을 서야 하는 시스템"
,5,"리뷰의 추천을 보고 아부라소바와 마제소바를 주문하였고 차슈를 추가하였는데, 아부라소바의 약간의 매콤함이 매우 중독성 있었고 마제소바는 타코야끼 비슷한 맛으로 만족스러웠다"
,5,"소바 메뉴는 맜있다 라는 표현은 연발할 정도였으며, 차슈도 갈비 비슷한 맛으로 역시 맛있었다"
,5,추천대로 밥까지 비벼먹으니… 탁월한 선택이었다고 인정.
,4,한 번에 3가지 다 시켜서 먹어봄
,4,아부라가 1등 그 다음은 마제소바랑 돈코츠라멘 순
,4,전 메뉴가 전체적으로 적당히 짭짤하고 감칠맛있어서 좋았다
,4,아부라는 특유의 고춧기름의 매콤함이 입안에 감돌아 질리지 않고 얹어나오는 고기 고명
,4,JMT 걍 이거 드삼!
,4,마제소바는 후추향이 느껴지고 내가 먹어본 마제소바랑 맛이 다름 이 곳만의 맛이있음
,4,돈코츠는 훈제향이 나서 좋음
,4,대학로에 이걸 먹기 위해 따로 오진 않을 듯
,4,하지만 연극이나 다른 일 때문에 왔을 땐 먹으러 올 듯
,4,"참, 돼지 육수처럼 기름진걸 하루 종일 끓여서 그런건지 몰라도."
,4,컵에 물을 따르면 기름이 뜬다..
,4,이 컵만 안 닦인건가 싶어서 4잔 따랐는데 다~ 기름뜸.(2잔은 따라보고 사장님께 말씀드렸더니 가져가시고 나머지 잔은 똑같이 기름이 떴지만 걍 먹음.) 앞접시 없어서 스댕 작은 접시 주심.
,4,평소에 웨이팅이 길어 줄 설 생각을 안하다가 줄이 짧아서 식사했었습니다
,4,제가 뭔가 간을 잘못 했을 수 있었으나 제 입맛에는 조금 짠 맛이었습니다.
,5,칸다소바의 맛이 신기하다
,5,전체적으로 계란베이스맛인데 이게 신기하게맛이ㅛ듬 ㅋㅋㅋㅋㅋ
,3,마제소바 집은 이제 너무 많다
,3,나는 칸다소바를 명성이 있을때 부터가 아닌 다른 유명 마제소바집을 다 가본 후 가봤다
,3,그래서인지 너무 평범
,3,그리고 살짝 짰는데 이게 일본 오리지날일수도 있겠다는 생각이 든다
,3,미역인지 다시마인지 해조류를 써서인지 다른곳보다 소스가 시원한 맛이 난다.
,5,인생 돈코츠라멘이었음
,5,재방문시 점심시간지나서 12시40분쯤 방문했음에도 대기시간이 20분정도였다
,5,예전보다 대기가 길어졌다
,5,대기시 먼저 주문후에 밖에서 대기하면 된다
,5,마제소바도 맛있지만 아부라소바가 더 맛났던것 같다
,5,같이 갔던 사람들은 돈코츠라멘을 먹었는데 맛났다고 함.
,4,이것이 일본 본토맛인가요
,4,맛은있는데 한국토종 입맛에는 느끼할듯
,4,2 번은 안가지 싶어요.아부라 소바의 돼지 껍데기 는맛있습니다
,4,"소바라해서 메밀면인가 상상했는데,우동면발이예요"
,4,쯔게모노( 단무지
,4,우엉.다시마) 느끼해서 엄청먹었어요.
,5,서촌에 있ㄴ 칸다소바만 이용했는데 혜화점도 맛있어요
,4,"주말 점심 시간에 방문했고, 웨이팅은 가게 안의 키오스크에서 주문 후 직원에게 교환서를 제출하는 방식이에요"
,4,"약 30분간 기다렸고, 직원분이 번호를 부르시면 가게 안으로 들어가 잠깐 기다린 후 자리를 안내받았어요"
,4,자리에 앉으면 음식은 금방 주셨고요
,4,"돈코츠 라멘을 먹었는데, 국물이 진해서 좋았어요"
,4,"고명인 시금치와 김, 차슈와 아지타마고(반숙계란)의 조화가 좋았고요."
,4,평일에는 오픈시간에 맞춰가도 웨이팅 없이 먹을 수 있음
,4,안쪽에 생각보다 자리가 많음
,4,쏘쏘하네요 자극적은 맛을 좋아하시는 분은 좀 심심할 수 있겠네요
,4,마제소바 단일메뉴의 전문점
,4,"혜화역 바로 옆에 위치하고 있어 접근성이 좋고, 매장 내부도 매우 넓은 편이라 다수의 인원이 함께 방문해도 좋을 것 같다"
,4,마제소바의 맛은 매우 묵직하고 진지하다
,4,가쓰오부시 향이 흥미롭다
,4,온갖 재료에서 쏟아지는 감칠맛의 폭풍이 입안을 가득 채운다
,4,면이 조금 더 찰진 느낌이었다면 좋겠다는 생각이 든다.
,5,처음 먹어보는 맛인 데 자극적이지 않고 은근히 중독적이에요
,5,고기맛진한게 좋으면 마제소바
,5,매콤한게 좋으면 아부라소바
,5,고기좋아하는 초딩입맛 친구도 아부라소바가 은근 중독적이라고 맛있데요
,5,일본에서 마제소바 먹어본 사람이라면 꼭 찾는 칸다소바
,5,식사때에 사람많아요
,5,인기있는곳 ㅎ
,4,가게 분위기 끝내줍니다
,4,"메뉴는 마제소바 단일메뉴(9,500원)입니다"
,4,"맛은 가게에서 설명한대로, 묵직하고, 짜고, 복잡한 맛이 납니다"
,4,호불호가 좀 갈릴만한 맛이에요
,4,워낙 짜고 자극적이어서...
,4,저는 그렇게까지 선호하는 맛은 아니네요
,4,근데 이건 마제소바 자체가 그런 맛이라고 생각하면 납득이 갑니다
,4,"묵직하고 복잡한 맛일뿐이지, 맛이 없었던것은 아니었어요"
,4,비빈 뒤 처음 먹는 맛은 묵직하고요
,4,다시마 식초를 넣은 이후에는 조금 더 맛이 깔끔해집니다
,4,저는 다시마 식초 넣은게 맛있었어요
,4,"서비스 밥은 무한으로 주시는데, 밥 비벼먹는게 또 괜찮습니다"
,4,초생강단무지랑 같이 먹으니까 맛있네요
,4,"같이 간 일행은 너무 좋아했는데, 저에게는 너무 짠 맛이었어요"
,4,그래도 다른 손님 분들 들어오셔서 주문하는거 보니 싱겁게 해달라고 하면 해주시는거 같더라고요
,4,다음에 와서는 싱겁게 해달라고 해보려고 합니다.
,5,확실히 일본 여러번 다녀봤지만 본적이 없는 장르에요
,5,비빔소바 제 생각에는 일본 가이세키요리가 떠올랐는데요
,5,비주얼하고 맛이 일치되는 느낌이 아니라서
,5,"처음에는 단순히 고기랑 향신료맛, 주변에 첨가해서 먹을수 있는 식초와 고추기름 넣어서 먹다보면 맛을 조금씩 바꿔서 먹으라고도 먹는 방법에 써있습니다"
,5,"사실 62가지의 재료를 넣었는데 맛이 이런정도라면, 또 생각나서 먹을 정도까지는 아닌거 같지만, 한번쯤은 새로운 것에 도전해보고 싶을때 혹은 일본 느낌을 받고 싶을때, 방문해도 괜찮은 가게 인것 같기는 해요"
